Comment Id,Date / Time,From Id,From,Message,Likes,Comments
10157361185413044_10157361196138044,2019-06-24 12:22:06,,,"die ärzte, the black dahlia murder, rammstein, system of a down, vader, arkona, bloodbath, dark tranquillity, job for a cowboy, J.B.O., kreator, soilwork, thyrfing, trivium ^^",1,0
10157361185413044_10157361196143044,2019-06-24 12:22:06,,,Heino 😂,1,0
10157361185413044_10157361196208044,2019-06-24 12:22:09,,,The Interrupters,0,0
10157361185413044_10157361196283044,2019-06-24 12:22:14,,,THE GHOST INSIDE👏🏻,1,0
10157361185413044_10157361196558044,2019-06-24 12:22:15,,,Sum 41 ..freiwild,4,0
10157361185413044_10157361196753044,2019-06-24 12:22:20,,,"Godsmack, korn, meshuggah, heaven shell burn",0,0
10157361185413044_10157361196808044,2019-06-24 12:22:22,,,Broilers SCHMUTZKI Metallica Rammstein böhse onkelz Five Finger death punch,0,0
10157361185413044_10157361196843044,2019-06-24 12:22:24,,,Billy Talent 💗,1,0
10157361185413044_10157361196868044,2019-06-24 12:22:25,,,THORN.,1,0
10157361185413044_10157361197023044,2019-06-24 12:22:29,,,"Shaka pong, 
https://youtu.be/00OK_Yf0-IE",1,0
10157361185413044_10157361197028044,2019-06-24 12:22:30,,,"Comaniac, Angry Again, Contorsion, Mind Patrol, Irony of Fate, Hate Squad, Warpath, Overkill, Testament, Crisix! :D",12,7
10157361185413044_10157361197093044,2019-06-24 12:22:34,,,Foo Fighters,0,0
10157361185413044_10157361197188044,2019-06-24 12:22:37,,,Tüchel,10,0
10157361185413044_10157361197213044,2019-06-24 12:22:38,,,"Und natürlich frei.wild, five finger death punch usw... Ah ich chönt ufzelle... 🙈",1,0
10157361185413044_10157361197233044,2019-06-24 12:22:38,,,Daron malakian & scars on Broadway,0,0
10157361185413044_10157361197448044,2019-06-24 12:22:43,,,System of a down,0,0
10157361185413044_10157361197553044,2019-06-24 12:22:48,,,Die ärzte,0,0
10157361185413044_10157361197843044,2019-06-24 12:22:56,,,"Burry tommorow
For Today
Myka Relocate
Bless the Fall",10,1
10157361185413044_10157361197853044,2019-06-24 12:22:56,,,"Metallica, Ärzte, Iron Maiden, System of a Down",1,0
10157361185413044_10157361197863044,2019-06-24 12:22:57,,,"Rammstein,The ghost inside,hatebreed,attila",1,0
10157361185413044_10157361198018044,2019-06-24 12:23:02,,,"Wage War, I Prevail, We Came As Romans, A Day To Remember, Billy Talent, Of Mice And Men, Ankor, Dream State",0,0
10157361185413044_10157361198053044,2019-06-24 12:23:05,,,Ganz klar Rammstein,1,0
10157361185413044_10157361198098044,2019-06-24 12:23:06,,,Choreography of the Dead,0,0
10157361185413044_10157361198238044,2019-06-24 12:23:10,,,Anthrax,0,0
10157361185413044_10157361198298044,2019-06-24 12:23:12,,,Rammstein,0,0
10157361185413044_10157361198353044,2019-06-24 12:23:15,,,Greenday,0,0
10157361185413044_10157361198433044,2019-06-24 12:23:18,,,ÄRZTE!!!,2,0
10157361185413044_10157361198448044,2019-06-24 12:23:18,,,Ghost Inside,0,0
10157361185413044_10157361198478044,2019-06-24 12:23:19,,,"Green Day, Volbeat, Billy Talent, Hank Von Hell, Ghost, Audrey Horne.... Vanessa Zimmermann hesch no anderi vorschläg😏",0,0
10157361185413044_10157361198488044,2019-06-24 12:23:20,,,Sum41,2,0
10157361185413044_10157361198598044,2019-06-24 12:23:22,,,"Böhse Onkelz, Metallica, Contorsion",0,0
10157361185413044_10157361198628044,2019-06-24 12:23:23,,,"In Extremo, Die Ärzte, Metallica, Rammstein, Eisbrecher 🤘",1,0
10157361185413044_10157361198733044,2019-06-24 12:23:26,,,Blink 182,1,0
10157361185413044_10157361198838044,2019-06-24 12:23:28,,,ILLUMENIUM,1,0
10157361185413044_10157361198883044,2019-06-24 12:23:33,,,Billy Talent,0,0
10157361185413044_10157361198968044,2019-06-24 12:23:41,,,Skillet,1,0
10157361185413044_10157361199158044,2019-06-24 12:23:50,,,Dave Slaves und Alazka wären der hammer und I Prevail sowieso,0,0
10157361185413044_10157361199203044,2019-06-24 12:23:53,,,Nervosa / Jinjer / Aether Realm / Nekrogoblikon /Alestorm,0,0
10157361185413044_10157361199248044,2019-06-24 12:23:55,,,"Michel Menzi darum kommentiersch sus,hm😂🤷
Janu dü hesch där dis niveau gat sälbär gigä",1,0
10157361185413044_10157361199268044,2019-06-24 12:23:56,,,Mad Sox 🤘,1,0
10157361185413044_10157361199333044,2019-06-24 12:23:59,,,Und Imminence,0,0
10157361185413044_10157361199353044,2019-06-24 12:24:00,,,"Rise Against,Green Day,Sum 41,Three Days Grace",9,0
10157361185413044_10157361199538044,2019-06-24 12:24:05,,,"Gojira, Parkway Drive, Ghost",2,0
10157361185413044_10157361203163044,2019-06-24 12:24:11,,,"Rammstein, madball, rage against the machine",1,0
10157361185413044_10157361203173044,2019-06-24 12:24:12,,,Attila und we butter the bread with butter🤘🤘,11,0
10157361185413044_10157361203218044,2019-06-24 12:24:15,,,KELLY FAMILIE 😂🤘😂🤘😂 Yeahhhhhh,0,0
10157361185413044_10157361203238044,2019-06-24 12:24:16,,,Rammstein & Foo fighters!!!!,1,0
10157361185413044_10157361203313044,2019-06-24 12:24:23,,,"Onkelz, Rammstein, Eisbrecher",4,0
10157361185413044_10157361203318044,2019-06-24 12:24:23,,,"Like a storm,
Escape the fate
Falling in reverse",1,0
10157361185413044_10157361206893044,2019-06-24 12:24:26,,,"Our Last Night, State Champs, Bring Me The Horizon, Crown The Empire, Moose Blood, Beartooth, We Came As Romans, Rise Against 🤘🏼",1,0
10157361185413044_10157361213348044,2019-06-24 12:24:31,,,Volbeat,1,0
10157361185413044_10157361213973044,2019-06-24 12:24:32,,,"Bring me the Horizon
I Prevail
Foo Fighters
Die Antwoord
Parkway Drive
Skindread
Billy Talent
FFDP
Muse",2,0
10157361185413044_10157361214008044,2019-06-24 12:24:33,,,"Korn, deftones, mass hysteria septik flesh",2,0
10157361185413044_10157361214438044,2019-06-24 12:24:34,,,"Greenday, System of a Down, Avenged Sevenfold, Tenacious D, Ghostmane, Scarlxrd, Sum 41, Riot Ten,",4,6
10157361185413044_10157361217638044,2019-06-24 12:24:39,,,"Chaoseum
https://youtu.be/xlgsW6of2CQ",2,0
10157361185413044_10157361217733044,2019-06-24 12:24:47,,,Dimmu Borgir mit Orchester 🤘🏻,0,0
10157361185413044_10157361217768044,2019-06-24 12:24:48,,,"Gojira, Machine Head !",1,0
10157361185413044_10157361217773044,2019-06-24 12:24:48,,,Iron maiden,0,0
10157361185413044_10157361217928044,2019-06-24 12:24:56,,,Architects,3,0
10157361185413044_10157361217943044,2019-06-24 12:24:57,,,"Ghost
In this moment
System of a down
Volbeat
Billy talent
The real mckenzies
...",1,1
10157361185413044_10157361217948044,2019-06-24 12:24:57,,,Scott Stapp 🤘,0,0
10157361185413044_10157361218053044,2019-06-24 12:25:02,,,"Nine inch nails 
Karnivool
A perfect circle",13,0
10157361185413044_10157361218078044,2019-06-24 12:25:03,,,Knöppel,3,0
10157361185413044_10157361218133044,2019-06-24 12:25:07,,,"In Extremo, Rammstein, Böhse Onkelz, Offspring, Slayer, Metallica",2,0
10157361185413044_10157361218188044,2019-06-24 12:25:10,,,Rammstein und Ran-d,1,0
10157361185413044_10157361221953044,2019-06-24 12:25:16,,,Rammstein!,0,0
10157361185413044_10157361221968044,2019-06-24 12:25:17,,,Tenacious D,0,0
10157361185413044_10157361222128044,2019-06-24 12:25:21,,,"Cradle of filth , rob zombie , rammstein , korn , devin townsend , dimmu borgir.",1,0
10157361185413044_10157361222278044,2019-06-24 12:25:26,,,Silent Planet,1,0
10157361185413044_10157361222303044,2019-06-24 12:25:27,,,Avenged sevenfold parkaway drive ärzte,0,0
10157361185413044_10157361222313044,2019-06-24 12:25:27,,,Lionheart,1,0
10157361185413044_10157361222403044,2019-06-24 12:25:29,,,Furchenschweiss,9,0
10157361185413044_10157361222443044,2019-06-24 12:25:30,,,Billy Talent 🔥,1,0
